Dátum;Skupina;GFaktor;OD (600);A (360 nm);A (430 nm);A (600 nm);F (430 nm);T (°C);Anizotropia;
28.3.2017;delERG6-DPH;1.272;;0.10291;0.11426;0.12219;;20;0.25627868852459;
28.3.2017;delERG6-DPH;1.263;;0.10291;0.11426;0.12219;;20;0.235459016393443;
28.3.2017;KU80-DPH;1.259;;0.10071;0.10828;0.11353;;20;0.248393442622951;
28.3.2017;KU80-DPH;1.274;;0.10071;0.10828;0.11353;;20;0.224901639344262;
30.3.2017;delERG6-DPH;1.283;0.253;0.11182;0.12207;0.12732;;20;0.229125;
30.3.2017;KU80-DPH;1.309;0.256;0.11316;0.11926;0.11975;;20;0.217459016;
4.4.2017;delERG6-DPH;1.28116085177078;0.25;0.1062;0.10852;0.09851;8.18;20;0.254393442622951;
4.4.2017;delERG6-DPH;1.30878135625842;0.25;0.1062;0.10852;0.09851;8.18;20;0.231032786885246;
4.4.2017;KU80-DPH;1.34531078103519;0.255;0.10242;0.10486;0.09094;9.05;20;0.212180327868852;
4.4.2017;KU80-DPH;1.28111649440483;0.255;0.10242;0.10486;0.09094;9.05;20;0.22244262295082;
7.4.2017;delERG6-DPH;1.25554892610871;0.253;0.11169;0.11621;0.12061;9.49;20;0.268016393442623;
7.4.2017;delERG6-DPH;1.26542583140051;0.253;0.11169;0.11621;0.12061;9.49;20;0.213697674418605;
7.4.2017;delERG6-DPH;1.23938294043076;0.253;0.11169;0.11621;0.12061;9.49;20;0.213208333333333;
7.4.2017;delERG6-DPH;1.28231325229695;0.255;0.10132;0.10803;0.11536;;20;0.235131147540984;
7.4.2017;KU80-DPH;1.312;0.25;0.10547;0.10645;0.10474;8.28;20;0.240032786885246;
7.4.2017;KU80-DPH;1.3;0.25;0.10547;0.10645;0.10474;8.28;20;0.227362068965517;
7.4.2017;KU80-DPH;1.329;0.25;0.10547;0.10645;0.10474;8.28;20;0.226634146341464;
7.4.2017;KU80-DPH;1.319;0.255;0.10034;0.10352;0.10205;;20;0.23144262295082;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
